GenCapacity_index_1,GenCapacity_index_2,GenCapacity
BASN_batteries_1,2030,935.8
BASN_batteries_1,2040,0.0
BASN_batteries_1,2050,0.0
BASN_biomass_1,2030,29.0
BASN_biomass_1,2040,22.8
BASN_biomass_1,2050,15.3
BASN_biomass_2,2030,15.600000000000001
BASN_biomass_2,2040,15.600000000000001
BASN_biomass_2,2050,10.2
BASN_conventional_hydroelectric_1,2030,2566.2999999999993
BASN_conventional_hydroelectric_1,2040,1773.8
BASN_conventional_hydroelectric_1,2050,1549.7
BASN_conventional_steam_coal_1,2030,1183.2
BASN_conventional_steam_coal_1,2040,733.2
BASN_conventional_steam_coal_1,2050,733.2
BASN_conventional_steam_coal_2,2030,2949.2
BASN_conventional_steam_coal_2,2040,2040.2
BASN_conventional_steam_coal_2,2050,677.2
BASN_geothermal_1,2030,836.4999999999999
BASN_geothermal_1,2040,578.8000000000001
BASN_geothermal_1,2050,140.8
BASN_natural_gas_fired_combined_cycle_1,2030,1216.1
BASN_natural_gas_fired_combined_cycle_1,2040,771.0
BASN_natural_gas_fired_combined_cycle_1,2050,609.0
BASN_natural_gas_fired_combined_cycle_2,2030,7113.9
BASN_natural_gas_fired_combined_cycle_2,2040,7113.9
BASN_natural_gas_fired_combined_cycle_2,2050,7113.9
BASN_natural_gas_fired_combustion_turbine_1,2030,2025.0
BASN_natural_gas_fired_combustion_turbine_1,2040,1902.9
BASN_natural_gas_fired_combustion_turbine_1,2050,1460.9
BASN_natural_gas_fired_combustion_turbine_2,2030,236.20000000000002
BASN_natural_gas_fired_combustion_turbine_2,2040,236.20000000000002
BASN_natural_gas_fired_combustion_turbine_2,2050,236.20000000000002
BASN_natural_gas_internal_combustion_engine_1,2030,221.40000000000003
BASN_natural_gas_internal_combustion_engine_1,2040,221.40000000000003
BASN_natural_gas_internal_combustion_engine_1,2050,203.50000000000003
BASN_natural_gas_steam_turbine_1,2030,242.5
BASN_natural_gas_steam_turbine_1,2040,5.0
BASN_natural_gas_steam_turbine_1,2050,0.0
BASN_onshore_wind_turbine_1,2030,2030.1
BASN_onshore_wind_turbine_1,2040,1661.3
BASN_onshore_wind_turbine_1,2050,520.0
BASN_petroleum_liquids_1,2030,25.799999999999997
BASN_petroleum_liquids_1,2040,13.6
BASN_petroleum_liquids_1,2050,0.0
BASN_small_hydroelectric_1,2030,381.2000000000001
BASN_small_hydroelectric_1,2040,359.7000000000001
BASN_small_hydroelectric_1,2050,308.8000000000001
BASN_solar_photovoltaic_1,2030,8009.1
BASN_solar_photovoltaic_1,2040,7984.1
BASN_solar_photovoltaic_1,2050,4726.6
CANO_batteries_1,2030,2678.6
CANO_batteries_1,2040,0.0
CANO_batteries_1,2050,0.0
CANO_biomass_1,2030,651.6000000000001
CANO_biomass_1,2040,200.70000000000002
